codigo|nombre|tipo|nivel|repeticiones|videoURL|autoload|poster|descripcion|musculos|calorias|tiempo
40|Subida de rodillas-(Moderado)|Musculacion|N2|20|https://www.youtube.com/watch?v=Eumn60ExMas|true|https://img.youtube.com/vi/Eumn60ExMas/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
41|Crunch Oblicuos|Musculacion|N1|10|https://www.youtube.com/watch?v=NNHEd8Y6FUc|false|https://img.youtube.com/vi/NNHEd8Y6FUc/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
42|Crunch Oblicuos-(Intenso)|Musculacion|RX+|30|https://www.youtube.com/watch?v=NNHEd8Y6FUc|false|https://img.youtube.com/vi/NNHEd8Y6FUc/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
43|Rodillas a codos-(Intenso)|Musculacion|RX+|30|https://www.youtube.com/watch?v=CwX4Dk3h26M|true|https://img.youtube.com/vi/CwX4Dk3h26M/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
44|Pies a la barra-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=BContPDoOpk|true|https://img.youtube.com/vi/BContPDoOpk/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
45|Pies a la barra estrictos-(Máximo)|Musculacion|RX|10|https://www.youtube.com/watch?v=HHjvtdJKMhg|true|https://img.youtube.com/vi/HHjvtdJKMhg/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
46|Hollow seg|Musculacion|N1|15|https://www.youtube.com/watch?v=Z1BN3DIHFsU|true|https://img.youtube.com/vi/Z1BN3DIHFsU/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
47|Hollow seg-(Intenso)|Musculacion|RX+|45|https://www.youtube.com/watch?v=Z1BN3DIHFsU|true|https://img.youtube.com/vi/Z1BN3DIHFsU/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
48|Hollow Rock una pierna|Musculacion|N1|15|https://www.youtube.com/watch?v=mKuTK0zTQKk|true|https://img.youtube.com/vi/mKuTK0zTQKk/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
49|Hollow Rock-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=HtaO2Rd81Qs|true|https://img.youtube.com/vi/HtaO2Rd81Qs/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
50|Plancha inversa seg-(Intenso)|Musculacion|RX+|60|https://www.youtube.com/watch?v=wQxvnVIO2Kw|true|https://img.youtube.com/vi/wQxvnVIO2Kw/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
51|Filly Press|Musculacion|N1|4|https://www.youtube.com/watch?v=cd5Bbx765_M|false|https://img.youtube.com/vi/cd5Bbx765_M/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
52|Filly Press-(Intenso)|Musculacion|RX+|8|https://www.youtube.com/watch?v=cd5Bbx765_M|false|https://img.youtube.com/vi/cd5Bbx765_M/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
53|Russian Twist-(Moderado)|Musculacion|N2|20|https://www.youtube.com/watch?v=qIJ716_3qIw|false|https://img.youtube.com/vi/qIJ716_3qIw/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
54|Russian Twist-(Máximo)|Musculacion|RX|40|https://www.youtube.com/watch?v=qIJ716_3qIw|false|https://img.youtube.com/vi/qIJ716_3qIw/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
55|Tijerillas en Hollow|Musculacion|N1|20|https://www.youtube.com/watch?v=9hGtwGwoS_4|true|https://img.youtube.com/vi/9hGtwGwoS_4/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
56|Tijerillas en Hollow-(Intenso)|Musculacion|RX+|60|https://www.youtube.com/watch?v=9hGtwGwoS_4|true|https://img.youtube.com/vi/9hGtwGwoS_4/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
57|Climbers|Musculacion|N1|15|https://www.youtube.com/watch?v=UOGvtqv856A|true|https://img.youtube.com/vi/UOGvtqv856A/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
58|Climbers-(Intenso)|Musculacion|RX+|35|https://www.youtube.com/watch?v=UOGvtqv856A|true|https://img.youtube.com/vi/UOGvtqv856A/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
59|Rack KB Hold seg|Musculacion|N1|20|https://www.youtube.com/watch?v=MAHFkvjtYsk|false|https://img.youtube.com/vi/MAHFkvjtYsk/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
60|Rack KB Hold seg-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=MAHFkvjtYsk|false|https://img.youtube.com/vi/MAHFkvjtYsk/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
61|Toques a pies|Musculacion|N1|6|https://www.youtube.com/watch?v=ohszH6UUNLs|true|https://img.youtube.com/vi/ohszH6UUNLs/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
62|Toques a pies-(Intenso)|Musculacion|RX+|14|https://www.youtube.com/watch?v=ohszH6UUNLs|true|https://img.youtube.com/vi/ohszH6UUNLs/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
63|Sentadilla Goblet|Musculacion|N1|5|https://www.youtube.com/watch?v=1FucOlSntPo|false|https://img.youtube.com/vi/1FucOlSntPo/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
64|Sentadilla Goblet-(Intenso)|Musculacion|RX+|9|https://www.youtube.com/watch?v=1FucOlSntPo|false|https://img.youtube.com/vi/1FucOlSntPo/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
65|Pica sentado levantamiento de pierna|Musculacion|N1|5|https://www.youtube.com/watch?v=a2fBw2pjiy0|true|https://img.youtube.com/vi/a2fBw2pjiy0/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
66|Pica sentado levantamiento de pierna-(Intenso)|Musculacion|RX+|20|https://www.youtube.com/watch?v=a2fBw2pjiy0|true|https://img.youtube.com/vi/a2fBw2pjiy0/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
67|Pica sentado aguantar piernas seg|Musculacion|N1|6|https://www.youtube.com/watch?v=5KTnjX11mLE|true|https://img.youtube.com/vi/5KTnjX11mLE/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
68|Pica sentado aguantar piernas seg-(Intenso)|Musculacion|RX+|18|https://www.youtube.com/watch?v=5KTnjX11mLE|true|https://img.youtube.com/vi/5KTnjX11mLE/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
69|Vela|Musculacion|N1|6|https://www.youtube.com/watch?v=cKYAF8oisKc|true|https://img.youtube.com/vi/cKYAF8oisKc/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
70|Vela-(Intenso)|Musculacion|RX+|14|https://www.youtube.com/watch?v=cKYAF8oisKc|true|https://img.youtube.com/vi/cKYAF8oisKc/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
71|Plancha extendida-(Moderado)|Musculacion|N2|15|https://www.youtube.com/watch?v=fMoFdVEIcY8|true|https://img.youtube.com/vi/fMoFdVEIcY8/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
72|Plancha extendida-(Máximo)|Musculacion|RX|45|https://www.youtube.com/watch?v=fMoFdVEIcY8|true|https://img.youtube.com/vi/fMoFdVEIcY8/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
73|Paso leopardo|Musculacion|N1|5|https://www.youtube.com/watch?v=mNc7yk2LS6A|true|https://img.youtube.com/vi/mNc7yk2LS6A/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
74|Paso leopardo-(Intenso)|Musculacion|RX+|15|https://www.youtube.com/watch?v=mNc7yk2LS6A|true|https://img.youtube.com/vi/mNc7yk2LS6A/sddefault.jpg|Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book|Core|0|0
